"exercicio","Esfera_cod","Esfera_desc","Orgao_cod","Orgao_desc","UO_cod","UO_desc","Funcao_cod","Funcao_desc","Subfuncao_cod","Subfuncao_desc","Programa_cod","Programa_desc","Acao_cod","Acao_desc","Subtitulo_cod","Subtitulo_desc","PlanoOrcamentario_cod","PlanoOrcamentario_desc","Fonte_cod","Fonte_desc","GND_cod","GND_desc","ModalidadeAplicacao_cod","ModalidadeAplicacao_desc","IdUso_cod","IdUso_desc","ResultadoPrimario_cod","ResultadoPrimario_desc","ploa","loa"
"2026","10","Orçamento Fiscal","22000","Ministério da Agricultura e Pecuária","22202","Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA","20","Agricultura","572","Desenvolvimento Tecnológico e Engenharia","2303","Pesquisa e Inovação Agropecuária","20Y6","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária","0027","No Estado de Alagoas","0000","Pesquisa, Desenvolvimento e Transferência de Tecnologias para a Agropecuária - Despesas Diversas","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,75000
"2026","10","Orçamento Fiscal","52000","Ministério da Defesa","52101","Ministério da Defesa - Administração Direta","05","Defesa Nacional","153","Defesa Terrestre","6112","Defesa Nacional","20X7","Emprego Conjunto ou Combinado das Forças Armadas","0001","Nacional","0002","Operações nas áreas de fronteira","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",13663992,13085585
"2026","20","Orçamento da Seguridade Social","26000","Ministério da Educação","26274","Universidade Federal de Uberlândia","28","Encargos Especiais","846","Outros Encargos Especiais","0909","Operações Especiais: Outros Encargos Especiais","0536","Benefícios de Legislação Especial","0031","No Estado de Minas Gerais","0001","Despesas com pensões especiais e benefícios de caráter indenizatório, em decorrência de Legislação Especial ou de Sentenças Judiciais, cujo pagamento ocorre em parcelas mensais e recorrentes","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","1","Primária obrigatória, considerada no cálculo do RP",89728,89728
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26249","Universidade Federal Rural do Rio de Janeiro","12","Educação","364","Ensino Superior","5113","Educação Superior: Qualidade, Democracia, Equidade e Sustentabilidade","20RK","Funcionamento de Instituições Federais de Ensino Superior","0033","No Estado do Rio de Janeiro","0000","Funcionamento de Instituições Federais de Ensino Superior - Despesas Diversas","3050","Recursos Próprios Livres da UO","3","Outras Despesas Correntes","90","Aplicações Diretas","8","Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","20","Orçamento da Seguridade Social","36000","Ministério da Saúde","36901","Fundo Nacional de Saúde","10","Saúde","302","Assistência Hospitalar e Ambulatorial","5118","Atenção Especializada à Saúde","2E90","Incremento Temporário ao Custeio dos Serviços de Assistência Hospitalar e Ambulatorial para Cumprimento de Metas","0028","No Estado de Sergipe","0000","Incremento Temporário ao Custeio dos Serviços de Assistência Hospitalar e Ambulatorial para Cumprimento de Metas","1001","Recursos Livres da Seguridade Social","3","Outras Despesas Correntes","99","A DEFINIR","6","Recursos para identificação das despesas com ações e serviços públicos de saúde, de acordo com os art. 2º e art. 3º da Lei Complementar nº 141, de 13 de janeiro de 2012","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,66839300
"2026","10","Orçamento Fiscal","26000","Ministério da Educação","26456","Universidade Federal do Agreste de Pernambuco","12","Educação","128","Formação de Recursos Humanos","0032","Programa de Gestão e Manutenção do Poder Executivo","4572","Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação","0026","No Estado de Pernambuco","0000","Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação","1000","Recursos Livres da União","3","Outras Despesas Correntes","90","Aplicações Diretas","8","Recursos para identificação das despesas com manutenção e desenvolvimento do ensino, conforme arts. 70 e 71 da Lei nº 9.394, de 20 de dezembro de 1996, no âmbito do Ministério da Educação","2","Primária discricionária, considerada no cálculo do RP",150000,150000
"2026","10","Orçamento Fiscal","52000","Ministério da Defesa","52931","Fundo Naval","05","Defesa Nacional","368","Educação Básica","6112","Defesa Nacional","21GP","Funcionamento dos Estabelecimentos de Educação Básica Militares do Ministério da Defesa","0001","Nacional","0001","Colégio Naval","1050","Recursos Próprios Livres da UO","3","Outras Despesas Correntes","90","Aplicações Diretas","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",4793921,4793921
"2026","10","Orçamento Fiscal","52000","Ministério da Defesa","52932","Fundo de Desenvolvimento do Ensino Profissional Marítimo","05","Defesa Nacional","363","Ensino Profissional","6112","Defesa Nacional","21GN","Funcionamento de Estabelecimentos de Ensino Profissional Militares do Ministério da Defesa","0001","Nacional","000G","Comando do 2º Distrito Naval","1050","Recursos Próprios Livres da UO","3","Outras Despesas Correntes","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","10","Orçamento Fiscal","52000","Ministério da Defesa","52931","Fundo Naval","05","Defesa Nacional","128","Formação de Recursos Humanos","6112","Defesa Nacional","20XR","Capacitação Profissional da Marinha","0001","Nacional","0001","Formação, Aperfeiçoamento e Especialização de Militares e Civis da Marinha","1000","Recursos Livres da União","3","Outras Despesas Correntes","91","Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",0,0
"2026","10","Orçamento Fiscal","81000","Ministério dos Direitos Humanos e da Cidadania","81101","Ministério dos Direitos Humanos e da Cidadania - Administração Direta","14","Direitos da Cidadania","422","Direitos Individuais, Coletivos e Difusos","5837","Promoção da Cidadania, Defesa de Direitos Humanos e Reparação de Violações","21G5","Promoção e Defesa dos Direitos Humanos para Todos e Reparação de Violações","0001","Nacional","0007","Execução do Programa de Proteção a Vítimas e Testemunhas Ameaçadas (PROVITA)","1000","Recursos Livres da União","3","Outras Despesas Correntes","30","Transferências a Estados e ao Distrito Federal","0","Recursos não destinados à contrapartida ou à identificação de despesas com ações e serviços públicos de saúde, ou referentes à manutenção e ao desenvolvimento do ensino","2","Primária discricionária, considerada no cálculo do RP",23229000,21534214
